Código: 5849 | Descrição: MOE - Fundações / Formas | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5850 | Descrição: MOE - Fundações / Formas / Blocos e/ou Sapatas | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5851 | Descrição: MOE - Fundações / Formas / Cisternas, Piscinas e/ou Dutos Enterrados | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5852 | Descrição: MOE - Fundações / Formas / Lajes Baldrame e/ou Radier | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5853 | Descrição: MOE - Fundações / Formas / Pilares de Arranque | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5854 | Descrição: MOE - Fundações / Formas / Vigas Baldrame | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5856 | Descrição: MOE - Fundações / Lastro de Brita | Unidade: m3 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5855 | Descrição: MOE - Fundações / Lastro de Brita | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5857 | Descrição: MOE - Fundações / Lastro de Concreto | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5858 | Descrição: MOE - Fundações / Lastro de Concreto | Unidade: m3 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5859 | Descrição: MOE - Impermeabilizações / Áreas Externas e Descobertas | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5860 | Descrição: MOE - Impermeabilizações / Áreas Técnicas | Unidade: m2 | Preço unitário: 23.65 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5861 | Descrição: MOE - Impermeabilizações / Baldrames e/ou Radier | Unidade: m2 | Preço unitário: 23.65 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5862 | Descrição: MOE - Impermeabilizações / BWCs, Cozinhas, Áreas de Serviço, Lavanderias | Unidade: m2 | Preço unitário: 23.65 | Data do preço: 14/05/2024 | Ativo: Sim
