idx_entrada;entrada_descricao;entrada_unidade;codigo_sugerido;descricao_catalogo;unidade_catalogo;score
192;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.8744
193;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8598
194;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5400;Tubo PVC Soldavel - 40 mm;m;0.8051
195;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8046
196;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.8147
197;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8162
199;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8485
200;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.8656
201;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8789
202;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8691
205;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.8812
206;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8044
207;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8135
208;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8067
209;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8169
210;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8049
211;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8177
212;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5400;Tubo PVC Soldavel - 40 mm;m;0.8083
213;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8153
214;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8098
215;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5392;"Tubo PVC Roscavel - 3/4""";m;0.8051
216;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8162
217;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.81
218;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.8735
